取引番号,取引原資産,オプションの種類,方向," 取引内容 ","ステータス ",購入,"ペイアウト ","判定レート "," 取引時間 "," 終了時刻 "
738297554,CHF/JPY," HighLow ",HIGH,124.670,取引終了,"￥3,000","￥5,550",124.692,"2021/11/04 19:50:42","2021/11/04 19:55:00"
738297120,CHF/JPY," HighLow ",HIGH,124.692,取引終了,"￥4,000",---,124.692,"2021/11/04 19:50:02","2021/11/04 19:55:00"
738248461,AUD/JPY," HighLow ",HIGH,84.704,取引終了,"￥4,000","￥7,400",84.728,"2021/11/04 17:45:07","2021/11/04 17:50:00"
738248381,NZD/JPY," HighLow ",HIGH,81.309,取引終了,"￥4,000","￥7,400",81.351,"2021/11/04 17:45:05","2021/11/04 17:50:00"
738248279,CAD/JPY," HighLow ",HIGH,91.891,取引終了,"￥4,000",---,91.890,"2021/11/04 17:45:03","2021/11/04 17:50:00"
738247672,AUD/JPY," HighLow ",HIGH,84.708,取引終了,"￥4,000","￥7,400",84.728,"2021/11/04 17:44:58","2021/11/04 17:50:00"
738241235,GBP/AUD," HighLow ",LOW,1.83624,取引終了,"￥3,000","￥5,400",1.83552,"2021/11/04 17:29:57","2021/11/04 17:35:00"
738239177,EUR/JPY," HighLow ",HIGH,131.833,取引終了,"￥4,000","￥7,400",131.853,"2021/11/04 17:25:05","2021/11/04 17:30:00"
738238218,GBP/JPY," Turbo ",HIGH,155.569,取引終了,"￥1,000","￥1,900",155.604,"2021/11/04 17:24:30","2021/11/04 17:25:30"
738237157,CHF/JPY," HighLow ",HIGH,124.820,取引終了,"￥4,000","￥7,400",124.887,"2021/11/04 17:22:47","2021/11/04 17:30:00"
738236650,GBP/JPY," Turbo ",HIGH,155.605,取引終了,"￥3,000",---,155.601,"2021/11/04 17:22:20","2021/11/04 17:25:20"
738232882,GBP/JPY," Turbo ",HIGH,155.738,取引終了,"￥3,000",---,155.734,"2021/11/04 17:15:44","2021/11/04 17:20:44"
738232681,GBP/JPY," Turbo ",HIGH,155.769,取引終了,"￥3,000",---,155.739,"2021/11/04 17:15:23","2021/11/04 17:20:23"
738016006,USD/JPY," Turbo ",HIGH,114.048,取引終了,"￥3,000","￥5,700",114.070,"2021/11/04 01:31:37","2021/11/04 01:34:37"
737971869,CHF/JPY," HighLow ",LOW,125.044,取引終了,"￥4,000",---,125.136,"2021/11/03 23:30:07","2021/11/03 23:35:00"
737971789,EUR/JPY," HighLow ",LOW,132.052,取引終了,"￥4,000",---,132.126,"2021/11/03 23:30:05","2021/11/03 23:35:00"
737951495,USD/JPY," Turbo ",LOW,114.045,取引終了,"￥3,000","￥5,550",114.038,"2021/11/03 23:00:24","2021/11/03 23:05:24"
737917318,GBP/JPY," Turbo ",LOW,155.553,転売済み,"￥3,000","￥5,052",155.506,"2021/11/03 21:57:03","2021/11/03 21:58:31"
737822781,CHF/JPY," HighLow ",LOW,124.865,取引終了,"￥4,000",---,124.897,"2021/11/03 18:15:03","2021/11/03 18:20:00"
737714662,AUD/JPY," HighLow ",HIGH,84.508,取引終了,"￥4,000","￥7,400",84.540,"2021/11/03 12:05:05","2021/11/03 12:10:00"
737714606,GBP/AUD," HighLow ",LOW,1.83526,取引終了,"￥4,000","￥7,200",1.83463,"2021/11/03 12:05:03","2021/11/03 12:10:00"
737611365,GBP/AUD," HighLow ",LOW,1.83292,取引終了,"￥3,000","￥5,400",1.83202,"2021/11/03 01:02:25","2021/11/03 01:05:00"
737611355,GBP/AUD," HighLow ",LOW,1.83276,取引終了,"￥3,000","￥5,400",1.83202,"2021/11/03 01:02:24","2021/11/03 01:05:00"
737610886,AUD/USD," Turbo ",HIGH,0.74265,取引終了,"￥3,000","￥5,700",0.74314,"2021/11/03 01:01:45","2021/11/03 01:04:45"
737606558,EUR/AUD," HighLow ",LOW,1.55884,取引終了,"￥4,000","￥7,400",1.55824,"2021/11/03 00:58:01","2021/11/03 01:05:00"
737560003,AUD/USD," HighLow ",HIGH,0.74458,取引終了,"￥4,000",---,0.74453,"2021/11/02 23:25:03","2021/11/02 23:30:00"
737484410,CAD/JPY," HighLow ",LOW,91.783,取引終了,"￥4,000","￥7,400",91.765,"2021/11/02 21:35:06","2021/11/02 21:40:00"
737484320,GBP/JPY," HighLow ",LOW,155.349,取引終了,"￥4,000","￥7,400",155.314,"2021/11/02 21:35:04","2021/11/02 21:40:00"
737484178,EUR/JPY," HighLow ",LOW,131.996,取引終了,"￥4,000",---,132.026,"2021/11/02 21:35:02","2021/11/02 21:40:00"
737418307,NZD/JPY," HighLow ",HIGH,80.898,取引終了,"￥4,000","￥7,400",80.951,"2021/11/02 19:40:03","2021/11/02 19:45:00"
737369717,AUD/JPY," HighLow ",HIGH,84.716,取引終了,"￥4,000",---,84.683,"2021/11/02 18:00:12","2021/11/02 18:05:00"
737369664,NZD/JPY," HighLow ",HIGH,81.281,取引終了,"￥4,000",---,81.240,"2021/11/02 18:00:10","2021/11/02 18:05:00"
737369517,CHF/JPY," HighLow ",HIGH,124.509,取引終了,"￥4,000",---,124.427,"2021/11/02 18:00:06","2021/11/02 18:05:00"
737362315,EUR/JPY," HighLow ",HIGH,131.660,取引終了,"￥4,000",---,131.539,"2021/11/02 17:54:59","2021/11/02 18:00:00"
737341503,CHF/JPY," HighLow ",HIGH,124.815,取引終了,"￥4,000",---,124.775,"2021/11/02 17:10:02","2021/11/02 17:15:00"
737315190,AUD/JPY," HighLow ",HIGH,84.847,取引終了,"￥4,000","￥7,400",84.848,"2021/11/02 16:05:02","2021/11/02 16:10:00"
737303830,CAD/JPY," HighLow ",HIGH,91.663,取引終了,"￥4,000","￥7,400",91.685,"2021/11/02 15:35:03","2021/11/02 15:40:00"
737291083,USD/CAD," HighLow ",LOW,1.23965,取引終了,"￥4,000","￥7,400",1.23962,"2021/11/02 15:05:09","2021/11/02 15:10:00"
737291003,EUR/AUD," HighLow ",LOW,1.55311,取引終了,"￥4,000","￥7,400",1.55260,"2021/11/02 15:05:07","2021/11/02 15:10:00"
737290902,AUD/JPY," HighLow ",HIGH,84.928,取引終了,"￥4,000","￥7,400",84.971,"2021/11/02 15:05:05","2021/11/02 15:10:00"
737290739,AUD/USD," HighLow ",HIGH,0.74744,取引終了,"￥4,000",---,0.74741,"2021/11/02 15:05:03","2021/11/02 15:10:00"
737289699,NZD/JPY," HighLow ",HIGH,81.452,取引終了,"￥4,000",---,81.452,"2021/11/02 15:04:35","2021/11/02 15:10:00"
737254708,GBP/JPY," HighLow ",HIGH,155.172,取引終了,"￥4,000","￥7,400",155.203,"2021/11/02 13:39:00","2021/11/02 13:45:00"
737210685,AUD/USD," Turbo ",HIGH,0.75198,取引終了,"￥3,000","￥5,700",0.75203,"2021/11/02 12:02:00","2021/11/02 12:05:00"
737209265,EUR/AUD," HighLow ",LOW,1.54200,取引終了,"￥3,000",---,1.54229,"2021/11/02 11:59:56","2021/11/02 12:05:00"
737187001,AUD/JPY," HighLow ",HIGH,85.776,取引終了,"￥1,000","￥1,850",85.796,"2021/11/02 11:01:04","2021/11/02 11:05:00"
